Unnamed: 0,customer_id,day_no,usage_app_facebook_daily,usage_app_helakuru_daily,usage_app_other,usage_app_tiktok_daily,usage_app_whatsapp_daily,usage_app_youtube_daily,usage_pack_data,usage_pack_vas,usage_voice_d2d_incoming,usage_voice_d2d_outgoing,usage_voice_d2nd_outgoing,usage_voice_nd2d_incoming
0,9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a,1,82.51,10.08,89.54,100.64,0.0,119.08,60.6,19.7,16.37,22.25,87.2,15.47
1,9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a,2,67.23,9.73,108.57,21.11,31.91,36.45,94.42,18.98,20.88,15.8,49.47,9.86
2,9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a,3,80.07,9.69,103.84,102.24,1.21,0.0,0.0,18.17,19.58,19.96,147.98,18.14
3,9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a,4,76.98,9.36,103.62,68.5,12.9,457.02,20.95,17.51,17.42,17.82,22.7,23.14
4,9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a,5,62.51,9.29,41.36,17.07,9.4,32.2,76.09,16.61,16.93,14.2,0.0,15.01
5,9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a,6,58.72,8.96,81.85,3.77,0.0,235.58,0.0,15.77,14.14,12.89,88.56,22.74
6,9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a,7,64.33,8.86,75.02,2.36,18.47,156.84,2.35,15.31,16.08,17.36,0.0,11.36
7,9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a,8,50.94,8.84,60.39,0.0,0.57,55.59,69.21,14.04,16.18,14.78,0.0,12.69
8,9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a,9,48.13,8.64,70.59,29.29,16.05,161.13,279.41,13.01,13.71,15.48,30.13,19.05
9,9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a,10,0.0,8.24,55.62,13.87,1.06,198.79,348.88,12.16,0.0,10.96,16.72,30.9
10,9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a,11,0.0,8.32,71.88,0.0,13.79,178.19,62.06,11.58,0.0,8.93,89.69,15.99
11,9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a,12,0.0,8.05,36.03,24.18,6.72,447.47,0.0,10.83,0.0,10.57,35.85,0.0
12,9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a,13,0.0,7.81,59.66,0.0,12.35,0.0,0.0,9.85,0.0,9.42,78.23,14.43
13,9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a,14,0.0,7.75,38.24,21.93,2.03,122.01,0.0,8.69,0.0,7.39,0.0,30.19
14,9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a,15,0.0,7.39,20.45,8.59,13.07,281.54,0.0,8.02,0.0,0.0,0.0,8.05
15,9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a,16,0.0,7.22,25.64,27.75,20.08,184.2,0.0,7.02,0.0,0.0,28.59,13.5
16,9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a,17,0.0,7.05,30.51,0.0,27.95,171.94,0.0,6.27,0.0,0.0,0.0,0.0
17,9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a,18,0.0,6.68,36.06,0.0,0.0,172.59,0.0,5.46,9.22,0.0,0.0,0.0
18,9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a,19,34.18,6.74,17.56,0.0,12.39,397.03,0.0,4.92,11.87,0.0,0.0,0.0
